name,url,category,notes
Greenwood Primary School,https://www.greenwoodpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Haig Girls' School,https://www.haiggirls.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Henry Park Primary School,https://www.henryparkpri.moe.edu.sg/,primary,GEP; GOVERNMENT SCHOOL
Holy Innocents' Primary School,https://www.holyinnocentspri.moe.edu.sg/,primary,SAP; GOVERNMENT-AIDED SCH
Hong Wen School,https://www.hongwen.moe.edu.sg/,primary,SAP; GOVERNMENT-AIDED SCH
Horizon Primary School,https://www.horizonpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Hougang Primary School,https://www.hougangpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Huamin Primary School,https://www.huaminpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Innova Primary School,https://www.innovapri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Jiemin Primary School,https://www.jieminpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Jing Shan Primary School,https://www.jingshanpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Junyuan Primary School,https://junyuanpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Jurong Primary School,https://www.jurongpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Jurong West Primary School,https://www.jurongwestpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Keming Primary School,https://www.kemingpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Kheng Cheng School,https://www.khengcheng.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
Kong Hwa School,https://www.konghwa.moe.edu.sg/,primary,SAP; GOVERNMENT-AIDED SCH
Kranji Primary School,https://kranjipri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Kuo Chuan Presbyterian Primary School,https://www.kuochuanpresbyterianpri.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
Lakeside Primary School,https://www.lakesidepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Lianhua Primary School,https://www.lianhuapri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Maha Bodhi School,https://www.mahabodhi.moe.edu.sg/,primary,SAP; GOVERNMENT-AIDED SCH
