name,url,category,notes
Outram Secondary School,https://www.outramsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Pasir Ris Crest Secondary School,https://www.prcss.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Pasir Ris Secondary School,https://pasirrissec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Paya Lebar Methodist Girls' School (Secondary),https://www.plmgss.moe.edu.sg/,secondary,Autonomous; GOVERNMENT-AIDED SCH
Pei Hwa Secondary School,https://www.peihwasec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Peicai Secondary School,https://www.peicaisec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Peirce Secondary School,https://www.peircesec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Presbyterian High School,https://www.presbyterian.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
Punggol Secondary School,https://www.punggolsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Queenstown Secondary School,https://www.queenstownsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Queensway Secondary School,https://www.queenswaysec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Raffles Girls' School (Secondary),https://www.rgs.edu.sg/,secondary,GEP; IP; INDEPENDENT SCHOOL
Raffles Institution,https://www.ri.edu.sg/,secondary,GEP; IP; INDEPENDENT SCHOOL; IP/through-train
Regent Secondary School,https://regentsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
River Valley High School,https://rivervalleyhigh.moe.edu.sg/,secondary,SAP; Autonomous; IP; GOVERNMENT SCHOOL; IP/through-train
Riverside Secondary School,https://www.riversidesec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
"School of Science and Technology, Singapore",https://www.sst.edu.sg/,secondary,SPECIALISED SCHOOL
"School of the Arts, Singapore",https://www.sota.edu.sg/,secondary,SPECIALISED SCHOOL; IP/through-train
Sembawang Secondary School,https://www.sembawangsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Seng Kang Secondary School,https://www.sengkangsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Serangoon Garden Secondary School,https://www.sgs.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Serangoon Secondary School,https://www.serangoonsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Singapore Sports School,https://www.sportsschool.edu.sg/,secondary,SPECIALISED SCHOOL; IP/through-train
Spectra Secondary School,https://www.spectra.edu.sg/,secondary,SPECIALISED INDEPENDENT SCHOOL
Springfield Secondary School,https://www.springfieldsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
St Andrew's School (Secondary),https://www.standrewssec.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
St. Anthony's Canossian Secondary School,https://stanthonyscanossiansec.moe.edu.sg/,secondary,Autonomous; GOVERNMENT-AIDED SCH
St. Gabriel's Secondary School,https://www.stgabrielssec.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
St. Hilda's Secondary School,https://www.sthildassec.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
St. Joseph's Institution,https://www.sji.edu.sg/,secondary,IP; INDEPENDENT SCHOOL; IP/through-train
St. Margaret's School (Secondary),https://www.stmargaretssec.moe.edu.sg/,secondary,Autonomous; GOVERNMENT-AIDED SCH
St. Patrick's School,https://www.stpatricks.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
Swiss Cottage Secondary School,https://www.swisscottagesec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Tampines Secondary School,https://www.tampinessec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Tanjong Katong Girls' School,https://www.tkgs.moe.edu.sg/,secondary,Autonomous; GOVERNMENT SCHOOL
Tanjong Katong Secondary School,https://www.tanjongkatongsec.moe.edu.sg/,secondary,Autonomous; GOVERNMENT SCHOOL
Temasek Junior College,https://www.temasekjc.moe.edu.sg/,secondary,IP; GOVERNMENT SCHOOL; IP/through-train
Temasek Secondary School,https://temaseksec.moe.edu.sg/,secondary,Autonomous; GOVERNMENT SCHOOL
Unity Secondary School,https://www.unitysec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Victoria School,https://www.victoria.moe.edu.sg/,secondary,Autonomous; IP; GOVERNMENT SCHOOL
West Spring Secondary School,https://www.westspringsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Westwood Secondary School,https://www.westwoodsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Whitley Secondary School,https://www.whitleysec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Woodgrove Secondary School,https://www.woodgrovesec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Woodlands Ring Secondary School,https://www.woodlandsringsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Woodlands Secondary School,https://www.woodlandssec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Xinmin Secondary School,https://www.xinminsec.moe.edu.sg/,secondary,Autonomous; GOVERNMENT SCHOOL
Yio Chu Kang Secondary School,https://www.yiochukangsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Yishun Secondary School,https://www.yishunsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Yishun Town Secondary School,https://www.yishuntownsec.moe.edu.sg/,secondary,Autonomous; GOVERNMENT SCHOOL
Yuan Ching Secondary School,https://yuanchingsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Yuhua Secondary School,https://www.yuhuasec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Yusof Ishak Secondary School,https://www.yusofishaksec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Yuying Secondary School,https://www.yuyingsec.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
Zhenghua Secondary School,https://www.zhenghuasec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Zhonghua Secondary School,https://www.zhonghuasec.moe.edu.sg/,secondary,Autonomous; GOVERNMENT SCHOOL
Anderson Serangoon Junior College,https://www.asrjc.moe.edu.sg/,jc,GOVERNMENT SCHOOL
Anglo-Chinese Junior College,https://acjc.moe.edu.sg/,jc,GOVERNMENT-AIDED SCH
Catholic Junior College,https://cjc.moe.edu.sg/,jc,GOVERNMENT-AIDED SCH
Eunoia Junior College,https://www.eunoiajc.moe.edu.sg/,jc,IP; GOVERNMENT SCHOOL
Jurong Pioneer Junior College,https://jpjc.moe.edu.sg/,jc,GOVERNMENT SCHOOL
Millennia Institute,https://www.millenniainstitute.moe.edu.sg/,jc,GOVERNMENT SCHOOL
Nanyang Junior College,https://www.nanyangjc.moe.edu.sg/,jc,GOVERNMENT-AIDED SCH
St Andrew's Junior College,https://www.standrewsjc.moe.edu.sg/,jc,GOVERNMENT-AIDED SCH
Tampines Meridian Junior College,https://www.tmjc.moe.edu.sg/,jc,GOVERNMENT SCHOOL
Victoria Junior College,https://www.victoriajc.moe.edu.sg/,jc,IP; GOVERNMENT SCHOOL
Yishun Innova Junior College,https://yijc.moe.edu.sg/,jc,GOVERNMENT SCHOOL
ITE College Central,https://www.ite.edu.sg/colleges/ite-college-central,poly,ITE college
ITE College East,https://www.ite.edu.sg/colleges/ite-college-east,poly,ITE college
ITE College West,https://www.ite.edu.sg/colleges/ite-college-west,poly,ITE college
Institute of Technical Education,https://www.ite.edu.sg/,poly,ITE HQ
Nanyang Polytechnic,https://www.nyp.edu.sg/,poly,Polytechnic
Ngee Ann Polytechnic,https://www.np.edu.sg/,poly,Polytechnic
Republic Polytechnic,https://www.rp.edu.sg/,poly,Polytechnic
Singapore Polytechnic,https://www.sp.edu.sg/,poly,Polytechnic
Temasek Polytechnic,https://www.tp.edu.sg/,poly,Polytechnic
Amity Global Institute,https://www.amity.edu.sg/,uni,Private
Curtin Singapore,https://www.curtin.edu.sg/,uni,Foreign branch campus
Digipen Institute of Technology Singapore,https://www.digipen.edu.sg/,uni,Private
EASB East Asia Institute of Management,https://www.easb.edu.sg/,uni,Private
ESSEC Asia-Pacific,https://www.essec.edu/en/asia-pacific/,uni,Foreign branch campus
INSEAD Asia Campus,https://www.insead.edu/,uni,Foreign branch campus
James Cook University Singapore,https://www.jcu.edu.sg/,uni,Foreign branch campus
Kaplan Higher Education Singapore,https://www.kaplan.com.sg/,uni,Private
MDIS - Management Development Institute of Singapore,https://www.mdis.edu.sg/,uni,Private
Nanyang Technological University,https://www.ntu.edu.sg/,uni,Autonomous university
National University of Singapore,https://www.nus.edu.sg/,uni,Autonomous university
PSB Academy,https://www.psb-academy.edu.sg/,uni,Private
SIM Global Education,https://www.sim.edu.sg/,uni,Private; SIM
Singapore Institute of Technology,https://www.singaporetech.edu.sg/,uni,Autonomous university
Singapore Management University,https://www.smu.edu.sg/,uni,Autonomous university
Singapore University of Social Sciences,https://www.suss.edu.sg/,uni,Autonomous university
Singapore University of Technology and Design,https://www.sutd.edu.sg/,uni,Autonomous university
University of the Arts Singapore,https://www.uas.edu.sg/,uni,NAFA + LASALLE alliance
ACS International (Singapore),https://www.acsinternational.edu.sg/,intl,International school
Australian International School Singapore,https://www.ais.com.sg/,intl,International school
Avondale Grammar School,https://www.avondale.edu.sg/,intl,International school
Brighton College Singapore,https://www.brightoncollege.edu.sg/,intl,International school
Canadian International School Singapore,https://www.cis.edu.sg/,intl,International school
Chatsworth International School,https://www.chatsworth.com.sg/,intl,International school
DPS International School Singapore,https://www.dpsinternational.com/,intl,International school
Dover Court International School,https://www.dovercourt.edu.sg/,intl,International school
EtonHouse International School,https://www.etonhouse.edu.sg/,intl,International school
GIIS Singapore - Global Indian International School,https://singapore.globalindianschool.org/,intl,International school
German European School Singapore,https://www.gess.sg/,intl,International school
Hollandse School Limited,https://www.hollandseschool.org/,intl,Dutch international
Hwa Chong International School,https://www.hcis.edu.sg/,intl,International school
ISS International School,https://www.iss.edu.sg/,intl,International school
Insworld Institute,https://www.insworld.edu.sg/,intl,International school
Invictus International School,https://www.invictus.edu.sg/,intl,International school
Korean International School Singapore,https://www.singaporekorean.sch.sa/,intl,International school
Lycee Francais de Singapour,https://www.lfs.edu.sg/,intl,French international
Middleton International School,https://www.middleton.edu.sg/,intl,International school
NPS International School,https://www.npsinternational.edu.sg/,intl,International school
Nexus International School Singapore,https://www.nexus.edu.sg/,intl,International school
Norwegian Supplementary School Singapore,https://www.norwegianschool.com.sg/,intl,International school
One World International School,https://www.owis.org/,intl,International school
Overseas Family School,https://www.ofs.edu.sg/,intl,International school
SJI International School,https://www.sji-international.com.sg/,intl,International school
Singapore American School,https://www.sas.edu.sg/,intl,International school
Stamford American International School,https://www.sais.edu.sg/,intl,International school
Swiss School in Singapore,https://www.swiss-school.edu.sg/,intl,International school
Tanglin Trust School,https://www.tts.edu.sg/,intl,International school
The Japanese School Singapore,https://www.sjs.edu.sg/,intl,Japanese international
United World College of South East Asia,https://www.uwcsea.edu.sg/,intl,UWCSEA
Waseda Shibuya Senior High School in Singapore,https://www.waseda-shibuya.edu.sg/,intl,Japanese international
XCL World Academy,https://www.xwa.edu.sg/,intl,International school
Yokohama Senior High School Singapore,https://www.yiss.edu.sg/,intl,Japanese international
APSN Tanglin School,https://www.apsn.org.sg/our-schools/tanglin-school/,other,SPED
AWWA School,https://www.awwa.org.sg/our-services/children-with-special-needs/awwa-school/,other,SPED
Beatty Secondary School Special Education,https://beattysec.moe.edu.sg/,other,SPED programme
Canossian School,https://canossian.moe.edu.sg/,other,SPED hearing impaired
Cerebral Palsy Alliance Singapore School,https://cpas.org.sg/,other,SPED
Civil Service College Singapore,https://www.csc.gov.sg/,other,Public-service training
Eden School,https://www.edenschool.edu.sg/,other,SPED autism
Grace Orchard School,https://graceorchard.edu.sg/,other,SPED
LASALLE College of the Arts,https://www.lasalle.edu.sg/,other,Arts institution
Lighthouse School,https://www.lighthouse.edu.sg/,other,SPED visually impaired
MINDS - Movement for the Intellectually Disabled of Singapore,https://www.minds.org.sg/,other,SPED schools network
Madrasah Al-Arabiah Al-Islamiah,https://www.alarabiah.edu.sg/,other,Madrasah
Madrasah Al-Irsyad Al-Islamiah,https://www.al-irsyad.edu.sg/,other,Madrasah
Madrasah Al-Maarif Al-Islamiah,https://www.almaarif.edu.sg/,other,Madrasah
Madrasah Aljunied Al-Islamiah,https://www.aljunied.edu.sg/,other,Madrasah
Madrasah Alsagoff Al-Arabiah,https://www.alsagoff.edu.sg/,other,Madrasah
Madrasah Wak Tanjong Al-Islamiah,https://www.waktanjong.edu.sg/,other,Madrasah
Metta School,https://www.mettaschool.edu.sg/,other,SPED
Nanyang Academy of Fine Arts,https://www.nafa.edu.sg/,other,Arts institution; NAFA
Pathlight School,https://www.pathlight.org.sg/,other,SPED autism
Rainbow Centre,https://www.rainbowcentre.org.sg/,other,SPED
Singapore Bible College,https://www.sbc.edu.sg/,other,Theological
Trinity Theological College,https://www.ttc.edu.sg/,other,Theological
